PRODUCT_ID;NAME;VALUE;valueInt;valueFloat
568;Turret Tracking;38,4;0;38,4
568;Primary Skill required;3304;3304;0
568;Secondary Skill required;3300;3300;0
568;Tech Level;1;1;0
568;Used with (Charge Group);85;85;0
568;Signature Resolution;40000;0;40000
568;Meta Level;0;0;0
568;Overload damage bonus;15;0;15
568;Heat Damage;0,8;0;0,8
568;Required Thermodynamics Level;1;1;0
568;Reload Time;5000;0;5000
569;Activation Cost;3,2683;0;3,2683
569;Structure Hitpoints;40;40;0
569;Powergrid Usage;132;0;132
569;CPU usage;28;0;28
569;Rate of fire;4500;4500;0
569;Optimal Range;2500;2500;0
569;Charges Per Cycle;1;1;0
569;Damage Modifier;2,95312;0;2,95312
569;Charge size;2;2;0
569;Accuracy falloff ;4000;0;4000
569;Turret Tracking;42,24;0;42,24
569;Primary Skill required;3304;3304;0
569;Secondary Skill required;3300;3300;0
569;Tech Level;1;1;0
569;Used with (Charge Group);85;85;0
569;Signature Resolution;40000;0;40000
569;Meta Level;0;0;0
569;Overload damage bonus;15;0;15
569;Heat Damage;0,7;0;0,7
569;Required Thermodynamics Level;1;1;0
569;Reload Time;5000;0;5000
571;Activation Cost;5,88;0;5,88
571;Structure Hitpoints;40;40;0
571;Powergrid Usage;1100;0;1100
571;CPU usage;40;0;40
571;Rate of fire;4500;4500;0
571;Optimal Range;4000;4000;0
571;Charges Per Cycle;1;1;0
571;Damage Modifier;1,8375;0;1,8375
571;Charge size;3;3;0
571;Accuracy falloff ;6000;0;6000
571;Turret Tracking;6;0;6
571;Primary Skill required;3307;3307;0
571;Secondary Skill required;3300;3300;0
571;Tech Level;1;1;0
571;Used with (Charge Group);85;85;0
571;Signature Resolution;40000;0;40000
571;Meta Level;0;0;0
571;Overload damage bonus;15;0;15
571;Heat Damage;0,5;0;0,5
571;Required Thermodynamics Level;1;1;0
571;Reload Time;5000;0;5000
573;Activation Cost;12,74;0;12,74
573;Structure Hitpoints;40;40;0
573;Powergrid Usage;1980;0;1980
573;CPU usage;52;0;52
573;Rate of fire;7875;7875;0
573;Optimal Range;6000;6000;0
573;Charges Per Cycle;1;1;0
573;Damage Modifier;3,675;0;3,675
573;Charge size;3;3;0
573;Accuracy falloff ;10000;0;10000
573;Turret Tracking;5,196;0;5,196
573;Primary Skill required;3307;3307;0
573;Secondary Skill required;3300;3300;0
573;Tech Level;1;1;0
573;Used with (Charge Group);85;85;0
573;Signature Resolution;40000;0;40000
573;Meta Level;0;0;0
573;Overload damage bonus;15;0;15
573;Heat Damage;0,9;0;0,9
573;Required Thermodynamics Level;1;1;0
573;Reload Time;5000;0;5000
575;Activation Cost;9,8;0;9,8
575;Structure Hitpoints;40;40;0
575;Powergrid Usage;1540;0;1540
575;CPU usage;44;0;44
575;Rate of fire;6750;6750;0
575;Optimal Range;5000;5000;0
575;Charges Per Cycle;1;1;0
575;Damage Modifier;2,95312;0;2,95312
575;Charge size;3;3;0
575;Accuracy falloff ;8000;0;8000
575;Turret Tracking;5,52;0;5,52
575;Primary Skill required;3307;3307;0
575;Secondary Skill required;3300;3300;0
575;Tech Level;1;1;0
575;Used with (Charge Group);85;85;0
575;Signature Resolution;40000;0;40000
575;Meta Level;0;0;0
575;Overload damage bonus;15;0;15
575;Heat Damage;0,7;0;0,7
575;Required Thermodynamics Level;1;1;0
575;Reload Time;5000;0;5000
561;Activation Cost;1,169;0;1,169
561;Structure Hitpoints;40;40;0
561;Powergrid Usage;2;2;0
561;CPU usage;5;5;0
561;Rate of fire;2600;2600;0
561;Optimal Range;6000;6000;0
561;Charges Per Cycle;1;1;0
561;Damage Modifier;1,65;0;1,65
561;Charge size;1;1;0
561;Accuracy falloff ;3000;0;3000
561;Turret Tracking;136,5;0;136,5
561;Primary Skill required;3301;3301;0
561;Secondary Skill required;3300;3300;0
561;Tech Level;1;1;0
561;Used with (Charge Group);85;85;0
561;Signature Resolution;40000;0;40000
561;Meta Level;0;0;0
561;Overload rate of fire bonus;-15;0;-15
561;Heat Damage;0,6;0;0,6
561;Required Thermodynamics Level;1;1;0
561;Reload Time;5000;0;5000
565;Activation Cost;2,338;0;2,338
565;Structure Hitpoints;40;40;0
565;Powergrid Usage;9;0;9
565;CPU usage;24;0;24
565;Rate of fire;4250;4250;0
565;Optimal Range;12000;12000;0
565;Charges Per Cycle;1;1;0
565;Damage Modifier;3,025;0;3,025
565;Charge size;1;1;0
565;Accuracy falloff ;6000;0;6000
565;Turret Tracking;73,5;0;73,5
565;Primary Skill required;3301;3301;0
565;Secondary Skill required;3300;3300;0
565;Tech Level;1;1;0
565;Used with (Charge Group);85;85;0
565;Signature Resolution;40000;0;40000
565;Meta Level;0;0;0
565;Overload rate of fire bonus;-15;0;-15
565;Heat Damage;1;0;1
565;Required Thermodynamics Level;1;1;0
565;Reload Time;5000;0;5000
567;Activation Cost;3,5;0;3,5
567;Structure Hitpoints;40;40;0
567;Powergrid Usage;70;0;70
567;CPU usage;30;0;30
567;Rate of fire;3565;0;3565
567;Optimal Range;12000;0;12000
567;Charges Per Cycle;1;1;0
567;Damage Modifier;1,9;0;1,9
567;Charge size;2;2;0
567;Accuracy falloff ;6000;0;6000
567;Turret Tracking;12;0;12
567;Primary Skill required;3304;3304;0
567;Secondary Skill required;3300;3300;0
567;Tech Level;1;1;0
567;Used with (Charge Group);85;85;0
567;Signature Resolution;40000;0;40000
567;Meta Level;0;0;0
567;Overload rate of fire bonus;-15;0;-15
567;Heat Damage;0,6;0;0,6
567;Required Thermodynamics Level;1;1;0
567;Reload Time;5000;0;5000
570;Activation Cost;7;0;7
570;Structure Hitpoints;40;40;0
570;Powergrid Usage;198;0;198
570;CPU usage;38;0;38
570;Rate of fire;5825;0;5825
570;Optimal Range;24000;0;24000
570;Charges Per Cycle;1;1;0
570;Damage Modifier;3,48;0;3,48
570;Charge size;2;2;0
570;Accuracy falloff ;12000;0;12000
570;Turret Tracking;6,56;0;6,56
570;Primary Skill required;3304;3304;0
570;Secondary Skill required;3300;3300;0
570;Tech Level;1;1;0
570;Used with (Charge Group);85;85;0
570;Signature Resolution;40000;0;40000
570;Meta Level;0;0;0
570;Overload rate of fire bonus;-15;0;-15
570;Heat Damage;1;0;1
570;Required Thermodynamics Level;1;1;0
570;Reload Time;5000;0;5000
572;Activation Cost;10,5;0;10,5
572;Structure Hitpoints;40;40;0
572;Powergrid Usage;1100;0;1100
572;CPU usage;52;0;52
572;Rate of fire;5850;5850;0
572;Optimal Range;24000;24000;0
572;Charges Per Cycle;1;1;0
572;Damage Modifier;1,65;0;1,65
572;Charge size;3;3;0
572;Accuracy falloff ;12000;0;12000
572;Turret Tracking;1,8375;0;1,8375
572;Primary Skill required;3307;3307;0
572;Secondary Skill required;3300;3300;0
572;Tech Level;1;1;0
572;Used with (Charge Group);85;85;0
572;Signature Resolution;40000;0;40000
572;Meta Level;0;0;0
572;Overload rate of fire bonus;-15;0;-15
572;Heat Damage;0,7;0;0,7
572;Required Thermodynamics Level;1;1;0
572;Reload Time;5000;0;5000
574;Activation Cost;21;0;21
574;Structure Hitpoints;40;40;0
574;Powergrid Usage;2200;0;2200
574;CPU usage;67;0;67
574;Rate of fire;9563;9563;0
574;Optimal Range;48000;48000;0
574;Charges Per Cycle;1;1;0
574;Damage Modifier;3,025;0;3,025
574;Charge size;3;3;0
574;Accuracy falloff ;24000;0;24000
574;Turret Tracking;1,01063;0;1,01063
574;Primary Skill required;3307;3307;0
574;Secondary Skill required;3300;3300;0
574;Tech Level;1;1;0
574;Used with (Charge Group);85;85;0
574;Signature Resolution;40000;0;40000
574;Meta Level;0;0;0
574;Overload rate of fire bonus;-15;0;-15
574;Heat Damage;1;0;1
574;Required Thermodynamics Level;1;1;0
574;Reload Time;5000;0;5000
452;Activation Cost;4,8625;0;4,8625
452;Structure Hitpoints;40;40;0
452;Powergrid Usage;7;7;0
452;CPU usage;10;0;10
452;Rate of fire;4000;0;4000
452;Optimal Range;9625;0;9625
452;Damage Modifier;3;0;3
452;Charge size;1;1;0
452;Accuracy falloff ;2000;0;2000
452;Turret Tracking;117;0;117
452;Primary Skill required;3303;3303;0
452;Secondary Skill required;3300;3300;0
452;Tech Level;1;1;0
452;Used with (Charge Group);86;86;0
452;Signature Resolution;40000;0;40000
452;Meta Level;0;0;0
452;Overload rate of fire bonus;-15;0;-15
452;Heat Damage;1;0;1
452;Required Thermodynamics Level;1;1;0
452;Reload Time;0,01;0;0,01
454;Activation Cost;9,025;0;9,025
454;Structure Hitpoints;40;40;0
454;Powergrid Usage;12;0;12
454;CPU usage;18;0;18
454;Rate of fire;5000;0;5000
454;Optimal Range;11000;0;11000
454;Damage Modifier;4,5;0;4,5
454;Charge size;1;1;0
454;Accuracy falloff ;2500;0;2500
454;Turret Tracking;90;0;90
454;Primary Skill required;3303;3303;0
454;Secondary Skill required;3300;3300;0
454;Tech Level;1;1;0
454;Used with (Charge Group);86;86;0
454;Signature Resolution;40000;0;40000
454;Meta Level;0;0;0
454;Overload rate of fire bonus;-15;0;-15
454;Heat Damage;1,25;0;1,25
454;Required Thermodynamics Level;1;1;0
454;Reload Time;0,01;0;0,01
455;Activation Cost;5,45;0;5,45
455;Structure Hitpoints;40;40;0
455;Powergrid Usage;81;0;81
455;CPU usage;25;0;25
455;Rate of fire;3150;0;3150
455;Optimal Range;8000;0;8000
455;Damage Modifier;1,88;0;1,88
455;Charge size;2;2;0
455;Accuracy falloff ;1000;0;1000
455;Turret Tracking;23,328;0;23,328
455;Primary Skill required;3306;3306;0
455;Secondary Skill required;3300;3300;0
455;Tech Level;1;1;0
455;Used with (Charge Group);86;86;0
455;Signature Resolution;40000;0;40000
455;Meta Level;0;0;0
455;Overload rate of fire bonus;-15;0;-15
455;Heat Damage;0,5;0;0,5
455;Required Thermodynamics Level;1;1;0
455;Reload Time;0,01;0;0,01
457;Activation Cost;11,67;0;11,67
457;Structure Hitpoints;40;40;0
457;Powergrid Usage;135;0;135
457;CPU usage;30;0;30
457;Rate of fire;4800;0;4800
457;Optimal Range;17500;0;17500
457;Damage Modifier;2,5;0;2,5
457;Charge size;2;2;0
457;Accuracy falloff ;6000;0;6000
457;Turret Tracking;12,096;0;12,096
457;Primary Skill required;3306;3306;0
457;Secondary Skill required;3300;3300;0
457;Tech Level;1;1;0
457;Used with (Charge Group);86;86;0
457;Signature Resolution;40000;0;40000
457;Meta Level;0;0;0
457;Overload rate of fire bonus;-15;0;-15
457;Heat Damage;0,7;0;0,7
457;Required Thermodynamics Level;1;1;0
457;Reload Time;0,01;0;0,01
459;Activation Cost;21,67;0;21,67
459;Structure Hitpoints;40;40;0
459;Powergrid Usage;225;0;225
459;CPU usage;35;0;35
459;Rate of fire;6000;0;6000
459;Optimal Range;20000;0;20000
459;Damage Modifier;3,75;0;3,75
459;Charge size;2;2;0
459;Accuracy falloff ;8000;0;8000
459;Turret Tracking;9,504;0;9,504
459;Primary Skill required;3306;3306;0
459;Secondary Skill required;3300;3300;0
459;Tech Level;1;1;0
459;Used with (Charge Group);86;86;0
459;Signature Resolution;40000;0;40000
459;Meta Level;0;0;0
459;Overload rate of fire bonus;-15;0;-15
459;Heat Damage;0,9;0;0,9
459;Required Thermodynamics Level;1;1;0
459;Reload Time;0,01;0;0,01
461;Activation Cost;28;0;28
461;Structure Hitpoints;40;40;0
461;Powergrid Usage;1575;0;1575
461;CPU usage;45;45;0
461;Rate of fire;7200;7200;0
461;Optimal Range;35000;35000;0
461;Damage Modifier;2;0;2
461;Charge size;3;3;0
461;Accuracy falloff ;12000;0;12000
461;Turret Tracking;1,75;0;1,75
461;Primary Skill required;3309;3309;0
461;Secondary Skill required;3300;3300;0
461;Tech Level;1;1;0
461;Used with (Charge Group);86;86;0
461;Signature Resolution;40000;0;40000
461;Meta Level;0;0;0
461;Overload rate of fire bonus;-15;0;-15
461;Heat Damage;0,8;0;0,8
461;Required Thermodynamics Level;1;1;0
461;Reload Time;0,01;0;0,01
463;Activation Cost;52;0;52
463;Structure Hitpoints;40;40;0
463;Powergrid Usage;2925;0;2925
463;CPU usage;55;55;0
463;Rate of fire;9000;9000;0
463;Optimal Range;40000;40000;0
463;Damage Modifier;3;0;3
463;Charge size;3;3;0
463;Accuracy falloff ;16000;0;16000
463;Turret Tracking;1,53125;0;1,53125
463;Primary Skill required;3309;3309;0
463;Secondary Skill required;3300;3300;0
463;Tech Level;1;1;0
463;Used with (Charge Group);86;86;0
463;Signature Resolution;40000;0;40000
463;Meta Level;0;0;0
463;Overload rate of fire bonus;-15;0;-15
463;Heat Damage;1;0;1
463;Required Thermodynamics Level;1;1;0
463;Reload Time;0,01;0;0,01
464;Activation Cost;76;0;76
464;Structure Hitpoints;40;40;0
464;Powergrid Usage;3375;0;3375
464;CPU usage;60;60;0
464;Rate of fire;12500;12500;0
464;Optimal Range;44000;44000;0
464;Damage Modifier;4,5;0;4,5
464;Charge size;3;3;0
464;Accuracy falloff ;20000;0;20000
464;Turret Tracking;1,39205;0;1,39205
464;Primary Skill required;3309;3309;0
464;Secondary Skill required;3300;3300;0
464;Tech Level;1;1;0
464;Used with (Charge Group);86;86;0
464;Signature Resolution;40000;0;40000
464;Meta Level;0;0;0
464;Overload rate of fire bonus;-15;0;-15
464;Heat Damage;1,4;0;1,4
464;Required Thermodynamics Level;1;1;0
464;Reload Time;0,01;0;0,01
450;Activation Cost;1,82;0;1,82
450;Structure Hitpoints;40;40;0
450;Powergrid Usage;5;5;0
450;CPU usage;4;4;0
450;Rate of fire;2100;2100;0
450;Optimal Range;4200;0;4200
450;Damage Modifier;1,5;0;1,5
450;Charge size;1;1;0
450;Accuracy falloff ;1000;0;1000
450;Turret Tracking;308,125;0;308,125
450;Primary Skill required;3303;3303;0
450;Secondary Skill required;3300;3300;0
450;Tech Level;1;1;0
450;Used with (Charge Group);86;86;0
450;Signature Resolution;40000;0;40000
450;Meta Level;0;0;0
450;Overload damage bonus;15;0;15
450;Heat Damage;0,6;0;0,6
450;Required Thermodynamics Level;1;1;0
450;Reload Time;0,01;0;0,01
451;Activation Cost;2,67;0;2,67
451;Structure Hitpoints;40;40;0
451;Powergrid Usage;6;6;0
451;CPU usage;8;8;0
451;Rate of fire;2700;2700;0
451;Optimal Range;4725;0;4725
451;Damage Modifier;2;0;2
451;Charge size;1;1;0
451;Accuracy falloff ;2000;0;2000
451;Turret Tracking;273,75;0;273,75
451;Primary Skill required;3303;3303;0
451;Secondary Skill required;3300;3300;0
451;Tech Level;1;1;0
451;Used with (Charge Group);86;86;0
451;Signature Resolution;40000;0;40000
451;Meta Level;0;0;0
451;Overload damage bonus;15;0;15
451;Heat Damage;0,6;0;0,6
451;Required Thermodynamics Level;1;1;0
451;Reload Time;0,01;0;0,01
453;Activation Cost;4,44;0;4,44
453;Structure Hitpoints;40;40;0
453;Powergrid Usage;10;0;10
453;CPU usage;15;0;15
453;Rate of fire;3500;3500;0
453;Optimal Range;5250;0;5250
453;Damage Modifier;3;0;3
453;Charge size;1;1;0
453;Accuracy falloff ;2500;0;2500
453;Turret Tracking;246,25;0;246,25
453;Primary Skill required;3303;3303;0
453;Secondary Skill required;3300;3300;0
453;Tech Level;1;1;0
453;Used with (Charge Group);86;86;0
453;Signature Resolution;40000;0;40000
453;Meta Level;0;0;0
453;Overload damage bonus;15;0;15
453;Heat Damage;0,8;0;0,8
453;Required Thermodynamics Level;1;1;0
453;Reload Time;0,01;0;0,01
456;Activation Cost;8;0;8
456;Structure Hitpoints;40;40;0
456;Powergrid Usage;114;0;114
456;CPU usage;28;28;0
456;Rate of fire;4050;4050;0
456;Optimal Range;9450;0;9450
456;Damage Modifier;2;0;2
456;Charge size;2;2;0
456;Accuracy falloff ;4000;0;4000
456;Turret Tracking;28,8;0;28,8
456;Primary Skill required;3306;3306;0
456;Secondary Skill required;3300;3300;0
456;Tech Level;1;1;0
456;Used with (Charge Group);86;86;0
456;Signature Resolution;40000;0;40000
456;Meta Level;0;0;0
456;Overload damage bonus;15;0;15
456;Heat Damage;0,6;0;0,6
456;Required Thermodynamics Level;1;1;0
456;Reload Time;0,01;0;0,01
458;Activation Cost;13,33;0;13,33
458;Structure Hitpoints;40;40;0
458;Powergrid Usage;189;0;189
458;CPU usage;33;33;0
458;Rate of fire;5250;5250;0
458;Optimal Range;10500;0;10500
458;Damage Modifier;3;0;3
458;Charge size;2;2;0
458;Accuracy falloff ;5000;0;5000
458;Turret Tracking;26;0;26
458;Primary Skill required;3306;3306;0
458;Secondary Skill required;3300;3300;0
458;Tech Level;1;1;0
458;Used with (Charge Group);86;86;0
458;Signature Resolution;40000;0;40000
458;Meta Level;0;0;0
458;Overload damage bonus;15;0;15
458;Heat Damage;0,8;0;0,8
458;Required Thermodynamics Level;1;1;0
458;Reload Time;0,01;0;0,01
460;Activation Cost;22,5;0;22,5
460;Structure Hitpoints;40;40;0
460;Powergrid Usage;1500;0;1500
460;CPU usage;40;40;0
460;Rate of fire;6075;6075;0
460;Optimal Range;18900;0;18900
460;Damage Modifier;2;0;2
460;Charge size;3;3;0
460;Accuracy falloff ;8000;0;8000
460;Turret Tracking;3,75;0;3,75
460;Primary Skill required;3309;3309;0
460;Secondary Skill required;3300;3300;0
460;Tech Level;1;1;0
460;Used with (Charge Group);86;86;0
460;Signature Resolution;40000;0;40000
460;Meta Level;0;0;0
460;Overload damage bonus;15;0;15
460;Heat Damage;0,7;0;0,7
460;Required Thermodynamics Level;1;1;0
460;Reload Time;0,01;0;0,01
462;Activation Cost;36;0;36
462;Structure Hitpoints;40;40;0
462;Powergrid Usage;2500;0;2500
462;CPU usage;50;50;0
462;Rate of fire;7875;7875;0
462;Optimal Range;21000;0;21000
462;Damage Modifier;3;0;3
462;Charge size;3;3;0
462;Accuracy falloff ;10000;0;10000
462;Turret Tracking;3,375;0;3,375
462;Primary Skill required;3309;3309;0
462;Secondary Skill required;3300;3300;0
462;Tech Level;1;1;0
462;Used with (Charge Group);86;86;0
462;Signature Resolution;40000;0;40000
462;Meta Level;0;0;0
462;Overload damage bonus;15;0;15
462;Heat Damage;0,9;0;0,9
462;Required Thermodynamics Level;1;1;0
462;Reload Time;0,01;0;0,01
484;Activation Cost;0;0;0
484;Structure Hitpoints;40;40;0
484;Powergrid Usage;1;0;1
484;CPU usage;3;0;3
484;Rate of fire;3000;0;3000
484;Optimal Range;800;0;800
484;Charges Per Cycle;1;1;0
484;Damage Modifier;2,0625;0;2,0625
484;Charge size;1;1;0
484;Accuracy falloff ;4300;0;4300
484;Turret Tracking;417;0;417
484;Primary Skill required;3302;3302;0
484;Secondary Skill required;3300;3300;0
484;Tech Level;1;1;0
484;Used with (Charge Group);83;83;0
484;Signature Resolution;40000;0;40000
484;Meta Level;0;0;0
484;Overload damage bonus;15;0;15
484;Heat Damage;0,8;0;0,8
484;Required Thermodynamics Level;1;1;0
484;Reload Time;10000;0;10000
485;Activation Cost;0;0;0
485;Structure Hitpoints;40;40;0
485;Powergrid Usage;2;0;2
485;CPU usage;6;0;6
485;Rate of fire;3375;0;3375
485;Optimal Range;900;0;900
485;Charges Per Cycle;1;1;0
485;Damage Modifier;2,475;0;2,475
485;Charge size;1;1;0
485;Accuracy falloff ;4730;0;4730
485;Turret Tracking;362;0;362
485;Primary Skill required;3302;3302;0
485;Secondary Skill required;3300;3300;0
485;Tech Level;1;1;0
485;Used with (Charge Group);83;83;0
485;Signature Resolution;40000;0;40000
485;Meta Level;0;0;0
485;Overload damage bonus;15;0;15
485;Heat Damage;0,8;0;0,8
485;Required Thermodynamics Level;1;1;0
485;Reload Time;10000;0;10000
486;Activation Cost;0;0;0
486;Structure Hitpoints;40;40;0
486;Powergrid Usage;4;0;4
486;CPU usage;9;0;9
486;Rate of fire;3750;0;3750
486;Optimal Range;1000;0;1000
486;Charges Per Cycle;1;1;0
486;Damage Modifier;2,8875;0;2,8875
486;Charge size;1;1;0
486;Accuracy falloff ;5160;0;5160
486;Turret Tracking;315;0;315
486;Primary Skill required;3302;3302;0
486;Secondary Skill required;3300;3300;0
486;Tech Level;1;1;0
486;Used with (Charge Group);83;83;0
486;Signature Resolution;40000;0;40000
486;Meta Level;0;0;0
486;Overload damage bonus;15;0;15
486;Heat Damage;1;0;1
486;Required Thermodynamics Level;1;1;0
486;Reload Time;10000;0;10000
489;Activation Cost;0;0;0
489;Structure Hitpoints;40;40;0
489;Powergrid Usage;80;0;80
489;CPU usage;18;0;18
489;Rate of fire;4500;0;4500
489;Optimal Range;1600;0;1600
489;Charges Per Cycle;1;1;0
489;Damage Modifier;2,0625;0;2,0625
489;Charge size;2;2;0
489;Accuracy falloff ;8600;0;8600
489;Turret Tracking;44,6899;0;44,6899
489;Primary Skill required;3305;3305;0
489;Secondary Skill required;3300;3300;0
489;Tech Level;1;1;0
489;Used with (Charge Group);83;83;0
489;Signature Resolution;40000;0;40000
489;Meta Level;0;0;0
489;Overload damage bonus;15;0;15
489;Heat Damage;0,7;0;0,7
489;Required Thermodynamics Level;1;1;0
489;Reload Time;10000;0;10000
490;Activation Cost;0;0;0
490;Structure Hitpoints;40;40;0
490;Powergrid Usage;100;0;100
490;CPU usage;21;0;21
490;Rate of fire;4725;0;4725
490;Optimal Range;1800;0;1800
490;Charges Per Cycle;1;1;0
490;Damage Modifier;2,31;0;2,31
490;Charge size;2;2;0
490;Accuracy falloff ;9460;0;9460
490;Turret Tracking;38,8608;0;38,8608
490;Primary Skill required;3305;3305;0
490;Secondary Skill required;3300;3300;0
490;Tech Level;1;1;0
490;Used with (Charge Group);83;83;0
490;Signature Resolution;40000;0;40000
490;Meta Level;0;0;0
490;Overload damage bonus;15;0;15
490;Heat Damage;0,7;0;0,7
490;Required Thermodynamics Level;1;1;0
490;Reload Time;10000;0;10000
491;Activation Cost;0;0;0
491;Structure Hitpoints;40;40;0
491;Powergrid Usage;140;0;140
491;CPU usage;24;0;24
491;Rate of fire;5625;0;5625
491;Optimal Range;2000;0;2000
491;Charges Per Cycle;1;1;0
491;Damage Modifier;2,8875;0;2,8875
491;Charge size;2;2;0
491;Accuracy falloff ;10320;0;10320
491;Turret Tracking;33,792;0;33,792
491;Primary Skill required;3305;3305;0
491;Secondary Skill required;3300;3300;0
491;Tech Level;1;1;0
491;Used with (Charge Group);83;83;0
491;Signature Resolution;40000;0;40000
491;Meta Level;0;0;0
491;Overload damage bonus;15;0;15
491;Heat Damage;0,8;0;0,8
491;Required Thermodynamics Level;1;1;0
491;Reload Time;10000;0;10000
494;Activation Cost;0;0;0
494;Structure Hitpoints;40;40;0
494;Powergrid Usage;1250;0;1250
494;CPU usage;33;0;33
494;Rate of fire;6750;0;6750
494;Optimal Range;3200;0;3200
494;Charges Per Cycle;1;1;0
494;Damage Modifier;2,0625;0;2,0625
494;Charge size;3;3;0
494;Accuracy falloff ;17200;0;17200
494;Turret Tracking;5,7132;0;5,7132
494;Primary Skill required;3308;3308;0
494;Secondary Skill required;3300;3300;0
494;Tech Level;1;1;0
494;Used with (Charge Group);83;83;0
494;Signature Resolution;40000;0;40000
494;Meta Level;0;0;0
494;Overload damage bonus;15;0;15
494;Heat Damage;0,7;0;0,7
494;Required Thermodynamics Level;1;1;0
494;Reload Time;10000;0;10000
495;Activation Cost;0;0;0
495;Structure Hitpoints;40;40;0
495;Powergrid Usage;1500;0;1500
495;CPU usage;36;0;36
495;Rate of fire;7500;0;7500
495;Optimal Range;3600;0;3600
495;Charges Per Cycle;1;1;0
495;Damage Modifier;2,4442;0;2,4442
495;Charge size;3;3;0
495;Accuracy falloff ;18920;0;18920
495;Turret Tracking;4,968;0;4,968
495;Primary Skill required;3308;3308;0
495;Secondary Skill required;3300;3300;0
495;Tech Level;1;1;0
495;Used with (Charge Group);83;83;0
495;Signature Resolution;40000;0;40000
495;Meta Level;0;0;0
495;Overload damage bonus;15;0;15
495;Heat Damage;0,8;0;0,8
495;Required Thermodynamics Level;1;1;0
495;Reload Time;10000;0;10000
496;Activation Cost;0;0;0
496;Structure Hitpoints;40;40;0
496;Powergrid Usage;2000;0;2000
496;CPU usage;39;0;39
496;Rate of fire;7875;0;7875
496;Optimal Range;4000;0;4000
496;Charges Per Cycle;1;1;0
496;Damage Modifier;2,695;0;2,695
496;Charge size;3;3;0
496;Accuracy falloff ;20640;0;20640
496;Turret Tracking;4,32;0;4,32
496;Primary Skill required;3308;3308;0
496;Secondary Skill required;3300;3300;0
496;Tech Level;1;1;0
496;Used with (Charge Group);83;83;0
496;Signature Resolution;40000;0;40000
